01001010100011,Air freshener,12.43
01101000111101,Alfredo sauce,10.71
10000010100101,All spice,4.14
00011011001111,Allergy medication,20.06
00101010111011,Aluminum foil,8.92
00010100111011,Anchovies,6.04
01100001101010,Antacids,10.88
01000000010111,Apple sauce,16.84
00100100011000,Apple sauce,20.77
01000110101000,Apples,14.30
01101000100010,Apricots,7.51
01100011001010,Asparagus,20.23
01100110111100,Avocados,9.38
01111000110100,Baby cookies,14.13
10001111011110,Baby food,5.82
00100111111001,Baby Items Cereal,12.69
00010010101101,Baby Lotion,6.74
00010101110110,Baby shampoo,3.25
10000011010001,Baby wash,6.32
01011000000101,Baby wipes,10.10
01001001010000,Bacon,1.68
00100001110110,Bagels,9.16
00101000000010,Baguette,14.64
01100000100100,Baking powder,6.45
01100010111110,Baking soda,17.97
10000100100011,Bananas,16.76
00101101110110,Band-aids,4.59
10011001111001,Bar soap,12.72
01110110010110,Basil,10.95
00111111100111,Basil,14.90
01001100100111,Bathroom cleaner,6.17
01111010001000,Bay leaf,14.08
01000111010100,BBQ sauce,18.73
01000101111111,Bean salad,6.26
01000110001010,Beans,13.68
00011011000010,Beans,5.54
01011001010000,Beef pot pie,5.53
00010010000111,Beets,18.30
01011000101000,Berries,11.89
01101010010110,Bisquick,6.33
01001111010010,Bleach,17.85
01011001001110,Blue berries,19.78
01000000100011,Body wash,7.91
01101110110001,Bologna,4.80
00010100101101,Bottle liners,19.44
01000001100110,Bottle nipples,12.13
00101100110100,Bottles,7.16
00011111010000,Bouillon cubes,5.46
01010011001001,Bran,9.70
00010100110110,Bread crumbs,2.82
01100101101010,Breast pads,9.24
10001001111011,Breath mints,15.99
00110101111101,Broccoli soup,15.79
01000000100011,Broccoli,14.42
01001101111101,Brown sugar,19.55
00101101011100,Brownie mix,11.27
00101111001100,Brownies,18.76
00110001111101,Brussels sprouts,7.26
01010111101011,Buns,18.10
01011011001000,Burger patties,5.04
00100110000000,Burritos,6.07
01010110000110,Butter,2.64
10001000011011,Cabbage,12.36
00010100111101,Cake mix,18.73
01001111101101,Cake,17.09
01010100010000,Candles,11.87
00101010011001,Candy,2.35
01011010110101,Cantaloupe,8.99
01011100010111,Carpet cleaner,17.84
00101001010111,Carpet freshener,19.55
01111001001010,Carrots,3.47
01111101111001,Carrots,8.22
01001001110110,Cat food,17.31
10001010001101,Cat litter,5.90
01000100010000,Catnip,15.80
01101101100010,Cauliflower,14.74
10010001001001,Celery,12.74
01101111111101,Chard,13.79
01100001111000,Cheese bread,4.31
00101111110100,Cheese slices,20.78
01000001110001,Cheese spread,12.23
00011111001010,Cheezies,19.24
01111111100001,Cherries,13.34
01000011000101,Chew toy,1.21
01111010110000,Chick peas,15.73
00100001000001,Chicken bologna,16.07
01100100101000,Chicken breast,8.56
00011010000100,Chicken flaked,9.55
01110011011001,Chicken legs,12.35
01001111101011,Chicken loaf,14.45
01001110000010,Chicken noodle soup,20.77
10000110010101,Chicken nuggets,9.40
00011010111001,Chicken pot pie,6.77
00101100110000,Chicken wings,20.08
00100111010001,Chicken,12.93
01011011010100,Chicken,14.62
00011011111110,Chili Sauce,13.83
01101100110001,Chili,3.39
01100101001011,Chip dip,11.33
01010011111111,Chips,13.34
00010101100111,Chives,20.62
10000010010100,Chocolate sauce,20.80
00111111101111,Chocolate,7.52
10000101100001,Cilantro,5.73
01001100111101,Cinnamon buns,11.27
01001001111101,Cinnamon,3.28
01110000000010,Clams,2.27
00110110000101,Cloves,12.02
01111110010001,Club soda,10.01
00101010100011,Cocoa powder,12.46
01111111001001,Cod,14.45
01011011100000,Coffee whitener,20.42
00110001010110,Coffee,18.98
01001001001001,Cold medicine,15.81
01111100010000,Collards,11.52
10010001100010,Conditioner,15.26
10010101001111,Cookies,11.12
00011001100110,Cookies,2.74
01101010101010,Corn chips,14.51
00111010101101,Corn creamed,3.44
00010001010100,Corn dogs,7.04
00111101101111,Corn flakes,20.26
00101000101010,Corn meal,13.40
00010011010111,Corn whole,12.63
01111010000001,Corn,3.06
01001011011011,Corned beef,12.87
00101110010001,Cottage cheese,15.82
00110001001101,Cotton balls,11.69
01100110111000,Cotton swabs,15.90
00101011000000,Couscous,9.27
00100010010000,Crab,7.98
01001111000001,Crackers,17.89
01000100110001,Cranberries,15.17
01100001001100,Cream cheese,3.79
10010010001001,Cream of wheat,5.80
00011101011110,Cream,4.74
01111010101110,Croissants,20.62
00111110101110,Cucumbers,11.72
00110111111001,Decorations,8.76
01100011010000,Dental/Breath bones,20.74
01110101101100,Deodorant,18.58
01001100000110,Diaper rash ointment,3.40
01010111101001,Diapers,20.37
10011010111001,Dish soap,18.64
01011101110111,Dishwasher detergent,15.18
01101001101010,Dog food,15.79
01001000110101,Doughnuts,2.10
10010011010010,Dried fruit,2.81
10010010001100,Drink crystals,13.34
00101001111011,Egg Nog,11.82
10000111000100,Egg plant,20.66
01111101100111,Egg substitute,13.79
00111000111101,Eggs,6.48
01101010011000,Endives,4.62
01011101101010,English muffins,3.88
01100100001110,Escargot (snails),15.12
10000100001001,Fabric softener,19.58
01100001100001,Facial tissue,19.80
00100101000010,Fish sticks,2.88
01001001110001,Flea collar,2.33
00101110100010,Floss,11.64
10000111111110,Flounder,16.03
00110111100000,Flour,7.57
10011001100010,Flu medicine,17.09
01000011100011,Formula,18.52
00100110111001,French bread,6.27
01110011100110,French fries,19.82
00101111010111,Fruit juice,19.86
00011111011010,Fruit salad,12.65
00010010001001,Fruit,6.24
01101010101101,Garbage bags,7.03
00110111011110,Garlic bread,1.10
00101100110010,Garlic,14.17
01100111000000,Garlic,20.72
00110101111110,Ginger,1.98
01010000110010,Glass's cleaner,15.99
00101101011100,Graham crumbles,8.15
01000001101111,Granola bars,2.88
01100011001001,Grape nuts,18.84
01011101000110,Grapefruit,14.50
01001110010111,Grapes,11.35
01010101000001,Gravy,19.94
01110001101110,Green peppers,10.10
00110000010001,Grooming comb,20.00
01011101101101,Ground beef,7.68
01111001101110,Ground pork,6.66
01100011111011,Gum,7.55
10010000110100,Hair color,16.81
01100011010000,Hair gel,18.04
01001001011001,Hair spray,6.03
10010111011110,Half & half,10.69
00110101101000,Halibut,3.20
00100111110101,Ham,20.83
10011001010011,Hamburger buns,5.07
01110000101010,Hamburgers,5.28
01011011001011,Hand soap,14.51
00010111100111,Hash browns,13.68
10010001110001,Hickory sticks,1.12
10000011000111,Honey comb,16.56
01001111110100,Honey nut ohs,11.30
01001000110111,Honey,5.29
00010111000100,Honeydew,5.72
00110101101101,Hot dog buns,18.36
00010011011101,Hot dogs,13.05
00001111101011,Hot sauce,12.89
01000011100000,Hot/Cold rub,11.97
10001101001001,HP sauce,14.92
01010100111001,Ice cream,12.72
00110000010101,Icing,10.28
10010101101111,Instant Noodles,16.15
00111110111100,Jam,13.68
01111000101110,Jell-O,20.58
10001111101110,Jelly,1.67
01111001100110,Juice concentrate,7.49
00110010100000,Juice,20.89
